id,number,description,unit,createdAt,updatedAt
cmgdwltm3000rs947edr07ddb,515-2-710,PEDESTRIAN / BICYCLE RAILING STEEL CUSTOM INFILL PANELS,LF,2025-10-05T16:15:53.643Z,2025-10-05T16:15:53.643Z
cmgdwltoj000ss947rilktt41,515-2-720,PEDESTRIAN / BICYCLE RAILING ALUMINUM CUSTOM INFILL PANELS,LF,2025-10-05T16:15:53.731Z,2025-10-05T16:15:53.731Z
cmgdwltqz000ts947mly7j0c4,515-3-1,PIPE HANDRAIL- RETROFIT TO EXISTING RAILING STEEL,LF,2025-10-05T16:15:53.820Z,2025-10-05T16:15:53.820Z
cmgdwltt8000us947eseay69u,515-3-2,PIPE HANDRAIL- RETROFIT TO EXISTING RAILING ALUMINUM,LF,2025-10-05T16:15:53.900Z,2025-10-05T16:15:53.900Z
cmgdwltvn000vs947wvct0amy,515-4-1,BULLET RAIL SINGLE RAIL,LF,2025-10-05T16:15:53.987Z,2025-10-05T16:15:53.987Z
cmgdwltxx000ws947eld04y3b,515-4-2,BULLET RAIL DOUBLE RAIL,LF,2025-10-05T16:15:54.069Z,2025-10-05T16:15:54.069Z
cmgdwlu03000xs947ji2n8ep0,515-4-42,BULLET RAIL RELOCATE- DOUBLE RAIL,LF,2025-10-05T16:15:54.147Z,2025-10-05T16:15:54.147Z
cmgdwlu2k000ys94742zz4zu0,515-20100,PEDESTRIAN / BICYCLE RAILING METAL STANCHIONS WITH CHAIN GUARD,EA,2025-10-05T16:15:54.236Z,2025-10-05T16:15:54.236Z
cmgdws3nm000zs9470vce7y31,536-1-0,GUARDRAIL -ROADWAY GENERAL/LOW SPEED TL-2,LF,2025-10-05T16:20:46.594Z,2025-10-05T16:20:46.594Z
cmgdws3ra0010s947byhqajpx,536-1-1,GUARDRAIL -ROADWAY GENERAL TL-3,LF,2025-10-05T16:20:46.727Z,2025-10-05T16:20:46.727Z
cmgdws3tq0011s947frjk0an5,536-1-3,GUARDRAIL- ROADWAY DOUBLE FACE,LF,2025-10-05T16:20:46.814Z,2025-10-05T16:20:46.814Z
cmgdws3w60012s947tiadiwlb,536-1-13,GUARDRAIL ROADWAY INSTALL ONLY- MATERIALS AVAILABLE AT FDOT MAINTENANCE YARD,LF,2025-10-05T16:20:46.903Z,2025-10-05T16:20:46.903Z
cmgdws3ym0013s94750u9zn6i,536-5-1,RUB RAIL FOR GUARDRAIL SINGLE SIDED RUB RAIL,LF,2025-10-05T16:20:46.990Z,2025-10-05T16:20:46.990Z
cmgdws4110014s9472nume3we,536-5-2,RUB RAIL FOR GUARDRAIL DOUBLE SIDED RUB RAIL,LF,2025-10-05T16:20:47.078Z,2025-10-05T16:20:47.078Z
cmgdws46e0015s9475t8xulqt,536-6,PIPE RAIL FOR GUARDRAIL,LF,2025-10-05T16:20:47.270Z,2025-10-05T16:20:47.270Z
cmgdws48u0016s9474924c65v,536-7-1,SPECIAL GUARDRAIL POST- DEEP POST FOR SLOPE BREAK CONDITION- TIMBER OR STEEL,EA,2025-10-05T16:20:47.358Z,2025-10-05T16:20:47.358Z
cmgdws4b90017s947h855elmg,536-7-2,SPECIAL GUARDRAIL POST- SPECIAL STEEL POST FOR CONCRETE STRUCTURE MOUNT,EA,2025-10-05T16:20:47.446Z,2025-10-05T16:20:47.446Z
cmgdws4dy0018s947zm7ezi3o,536-7-3,SPECIAL GUARDRAIL POST- ENCASED POST FOR SHALLOW MOUNT,EA,2025-10-05T16:20:47.543Z,2025-10-05T16:20:47.543Z
cmgdws4ge0019s9475wai3lqh,536-7-4,SPECIAL GUARDRAIL POST- FRANGIBLE LEAVE-OUT FOR MOUNTING THROUGH CONCRETE SURFACE,EA,2025-10-05T16:20:47.630Z,2025-10-05T16:20:47.630Z
cmgdws4ja001as947abgt5esb,536-73,GUARDRAIL REMOVAL,LF,2025-10-05T16:20:47.734Z,2025-10-05T16:20:47.734Z
cmgdws4ls001bs947tlzm1icn,536-83-1,GUARDRAIL POST REPLACEMENT REGULAR (MAINTENANCE USE ONLY),EA,2025-10-05T16:20:47.824Z,2025-10-05T16:20:47.824Z
cmgdws4oa001cs947eiu01zxr,536-8-111,GUARDRAIL TRANSITION CONNECTION TO RIGID BARRIER F&I- INDEX 536-001 APPROACH TL-2,EA,2025-10-05T16:20:47.914Z,2025-10-05T16:20:47.914Z
cmgdws4qt001ds947ij6m5tlu,536-8-112,GUARDRAIL TRANSITION CONNECTION TO RIGID BARRIER F&I- INDEX 536-001 APPROACH TL-3,EA,2025-10-05T16:20:48.006Z,2025-10-05T16:20:48.006Z
cmgdws4t9001es947zm8gmc08,536-8-113,GUARDRAIL TRANSITION CONNECTION TO RIGID BARRIER F&I- INDEX 536-001 TRAILING,EA,2025-10-05T16:20:48.094Z,2025-10-05T16:20:48.094Z
cmgdws4w5001fs947pfvg3vbr,536-8-122,GUARDRAIL TRANSITION CONNECTION TO RIGID BARRIER F&I- INDEX 536-002 APPROACH TL-3,EA,2025-10-05T16:20:48.198Z,2025-10-05T16:20:48.198Z
cmgdws4yp001gs947sylmsd6a,536-8-123,GUARDRAIL TRANSITION CONNECTION TO RIGID BARRIER F&I- INDEX 536-002 TRAILING,EA,2025-10-05T16:20:48.290Z,2025-10-05T16:20:48.290Z
cmgdws516001hs947zusi5f72,536-85-20,GUARDRAIL END TREATMENT- TRAILING ANCHORAGE,EA,2025-10-05T16:20:48.379Z,2025-10-05T16:20:48.379Z
cmgdws53m001is947vj4nogz5,536-85-24,GUARDRAIL END TREATMENT- PARALLEL APPROACH TERMINAL,EA,2025-10-05T16:20:48.466Z,2025-10-05T16:20:48.466Z
cmgdws561001js947j7j6amzb,536-85-26,GUARDRAIL END TREATMENT- TYPE CRT,EA,2025-10-05T16:20:48.554Z,2025-10-05T16:20:48.554Z
cmgdws58i001ks947eryngxj2,536-85-27,GUARDRAIL END TREATMENT- DOUBLE FACE APPROACH TERMINAL,EA,2025-10-05T16:20:48.643Z,2025-10-05T16:20:48.643Z
cmgdws5b5001ls9478braw6r4,536-85-29,GUARDRAIL END TREATMENT- DOUBLE FACE TRAILING ANCHORAGE,EA,2025-10-05T16:20:48.738Z,2025-10-05T16:20:48.738Z
cmgdwy30a001ms947a85k0iw9,544-2-1,CRASH CUSHION TL-2 NARROW,EA,2025-10-05T16:25:25.691Z,2025-10-05T16:25:58.998Z
cmgdwy36d001ns947avrsdtdz,544-2-2,CRASH CUSHION TL-2 WIDE,EA,2025-10-05T16:25:25.909Z,2025-10-05T16:25:59.134Z
cmgdwy38l001os947vlpnlw72,544-3-1,CRASH CUSHION TL-3 NARROW,EA,2025-10-05T16:25:25.989Z,2025-10-05T16:25:59.220Z
cmgdwy3b3001ps947anoulgpk,544-3-2,CRASH CUSHION TL-3 WIDE,EA,2025-10-05T16:25:26.079Z,2025-10-05T16:25:59.311Z
cmgedc0hx0038s94h4o9sztcv,550-10410,FENCING WOOD FENCE 0.0-5.0,LF,2025-10-06T00:04:09.477Z,2025-10-06T00:04:09.477Z
cmgedc0jw0039s94h7vz5i4j3,550-10418,FENCING WOOD FENCE 0.0-5.0 RESET EXISTING,LF,2025-10-06T00:04:09.549Z,2025-10-06T00:04:09.549Z
cmgedc0ls003as94hbzpkjllx,550-10420,FENCING WOOD FENCE 5.1-6.0,LF,2025-10-06T00:04:09.617Z,2025-10-06T00:04:09.617Z
cmgedc0nu003bs94hpt2b5i6t,550-10510,FENCING TUBULAR METAL PIPE 0.0-5.0,LF,2025-10-06T00:04:09.690Z,2025-10-06T00:04:09.690Z
cmgedc0pt003cs94hpgdfdzoz,550-10620,FENCING VINYL FENCE 5.1-6.0,LF,2025-10-06T00:04:09.761Z,2025-10-06T00:04:09.761Z
cmgedc0yc003gs94hohyzgd1k,550-10938,FENCING SPECIAL TYPE 6.1-7.0 RESET EXISTING,LF,2025-10-06T00:04:10.069Z,2025-10-06T00:04:10.069Z
cmgedc10c003hs94hf13tmc0v,550-10948,FENCING SPECIAL TYPE 7.1-8.0 RESET EXISTING,LF,2025-10-06T00:04:10.141Z,2025-10-06T00:04:10.141Z
cmgedc12c003is94hcpr4z2cy,550-60111,FENCE GATE TYPE A SINGLE 0-6.0 OPENING,EA,2025-10-06T00:04:10.212Z,2025-10-06T00:04:10.212Z
cmgedc14a003js94hr75ubayk,550-60112,FENCE GATE TYPE A SINGLE 6.1-12.0 OPENING,EA,2025-10-06T00:04:10.282Z,2025-10-06T00:04:10.282Z
cmgedc16d003ks94hanaa5uza,550-60122,FENCE GATE TYPE A DOUBLE 6.1-12.0 OPENING,EA,2025-10-06T00:04:10.358Z,2025-10-06T00:04:10.358Z
cmgedc18j003ls94had5cc9wz,550-60123,FENCE GATE TYPE A DOUBLE 12.1-18.0 OPENING,EA,2025-10-06T00:04:10.435Z,2025-10-06T00:04:10.435Z
cmgedc1al003ms94h4phhg4gf,550-60124,FENCE GATE TYPE A DOUBLE 18.1-20.0 OPENING,EA,2025-10-06T00:04:10.509Z,2025-10-06T00:04:10.509Z
cmgedc1cv003ns94hyzu7m3gy,550-60125,FENCE GATE TYPE A DOUBLE 20.1-24.0 OPENING,EA,2025-10-06T00:04:10.592Z,2025-10-06T00:04:10.592Z
cmgedbxqs001ws94hzxm3xu2p,550-10-119,FENCING TYPE A 0.0-5.0 SPECIAL FEATURES,LF,2025-10-06T00:04:05.909Z,2025-10-06T00:15:16.352Z
cmgedbxss001xs94h9pn1vj4a,550-10-120,FENCING TYPE A 5.1-6.0 STANDARD,LF,2025-10-06T00:04:05.980Z,2025-10-06T00:15:17.860Z
cmgedbxut001ys94hazpwdcxv,550-10-128,FENCING TYPE A 5.1-6.0 RESET EXISTING,LF,2025-10-06T00:04:06.054Z,2025-10-06T00:15:21.244Z
cmgedbxwv001zs94hdgismrv6,550-10-130,FENCING TYPE A 6.1-7.0 STANDARD,LF,2025-10-06T00:04:06.127Z,2025-10-06T00:15:23.799Z
cmgedbxz80020s94hdfqg9ds9,550-10-140,FENCING TYPE A 7.1-8.0 STANDARD,LF,2025-10-06T00:04:06.212Z,2025-10-06T00:15:24.731Z
cmgedby170021s94hhq29bxbd,550-10-148,FENCING TYPE A 7.1-8.0 RESET EXISTING,LF,2025-10-06T00:04:06.284Z,2025-10-06T00:15:25.718Z
cmgedby3c0022s94h4exsbigq,550-10-149,FENCING TYPE A 7.1-8.0 SPECIAL FEATURES,LF,2025-10-06T00:04:06.361Z,2025-10-06T00:15:26.836Z
cmgedby5b0023s94haz8zzkmk,550-10-150,FENCING TYPE A 8.1-10.0 STANDARD,LF,2025-10-06T00:04:06.431Z,2025-10-06T00:15:27.721Z
cmgedby7b0024s94hercz61al,550-10-158,FENCING TYPE A 8.1-10.0 RESET EXISTING,LF,2025-10-06T00:04:06.503Z,2025-10-06T00:15:29.898Z
cmgedby9f0025s94hdndjbfww,550-10-159,FENCING TYPE A 8.1-10.0 SPECIAL FEATURES,LF,2025-10-06T00:04:06.579Z,2025-10-06T00:15:31.698Z
cmgedbybj0026s94hk90av5xy,550-10-169,FENCING TYPE A 10.1-12.0 SPECIAL FEATURES,LF,2025-10-06T00:04:06.655Z,2025-10-06T00:15:32.566Z
cmgedbydo0027s94hhaqgffv7,550-10-210,FENCING TYPE B 0.0-5.0 STANDARD FEATURES,LF,2025-10-06T00:04:06.732Z,2025-10-06T00:15:33.313Z
cmgedbyfo0028s94h45qssuzg,550-10-212,FENCING TYPE B 0.0-5.0 WITH VINYL COATING,LF,2025-10-06T00:04:06.804Z,2025-10-06T00:15:35.567Z
cmgedbyhy0029s94h0gb43rdw,550-10-218,FENCING TYPE B 0.0-5.0 RESET EXISTING,LF,2025-10-06T00:04:06.886Z,2025-10-06T00:15:37.229Z
cmgedbyjy002as94hlox1zxbp,550-10-219,FENCING TYPE B 0.0-5.0 SPECIAL FEATURES,LF,2025-10-06T00:04:06.959Z,2025-10-06T00:15:38.117Z
cmgedbym0002bs94h2av8iv55,550-10-220,FENCING TYPE B 5.1-6.0 STANDARD,LF,2025-10-06T00:04:07.032Z,2025-10-06T00:15:38.898Z
cmgedbynz002cs94hc1myqmx6,550-10-221,FENCING TYPE B 5.1-6.0 WITH BARB WIRE ATTACHMENT,LF,2025-10-06T00:04:07.104Z,2025-10-06T00:15:39.819Z
cmgedbypz002ds94hflr39a5g,550-10-222,FENCING TYPE B 5.1-6.0 WITH VINYL COATING,LF,2025-10-06T00:04:07.176Z,2025-10-06T00:15:40.708Z
cmgedbyry002es94hrf6wz3rt,550-10-228,FENCING TYPE B 5.1-6.0 RESET EXISTING,LF,2025-10-06T00:04:07.246Z,2025-10-06T00:15:42.623Z
cmgedbyty002fs94h66t7xzaw,550-10-229,FENCING TYPE B 5.1-6.0 SPECIAL FEATURES,LF,2025-10-06T00:04:07.319Z,2025-10-06T00:15:43.797Z
cmgedbyvy002gs94hz4w66pqn,550-10-230,FENCING TYPE B 6.1-7.0 STANDARD,LF,2025-10-06T00:04:07.390Z,2025-10-06T00:15:46.091Z
cmgedbyzu002is94hyp6swdb5,550-10-232,FENCING TYPE B 6.1-7.0 WITH VINYL COATING,LF,2025-10-06T00:04:07.530Z,2025-10-06T00:15:48.597Z
cmgedbz1u002js94hjhjt4aby,550-10-236,FENCING TYPE B 6.1-7.0 WITH VINYL COATING AND BARBED WIRE ATTACHMENT,LF,2025-10-06T00:04:07.602Z,2025-10-06T00:15:49.961Z
cmgedbz3t002ks94h48gofjjv,550-10-238,FENCING TYPE B 6.1-7.0 RESET EXISTING,LF,2025-10-06T00:04:07.673Z,2025-10-06T00:15:52.547Z
cmgedbz5t002ls94hjszf2vv4,550-10-240,FENCING TYPE B 7.1-8.0 STANDARD,LF,2025-10-06T00:04:07.745Z,2025-10-06T00:15:55.215Z
cmgedbz7u002ms94hj0a2c0l9,550-10-241,FENCING TYPE B 7.1-8.0 WITH BARBED WIRE,LF,2025-10-06T00:04:07.818Z,2025-10-06T00:15:57.010Z
cmgedbz9u002ns94hqita3n6a,550-10-242,FENCING TYPE B 7.1-8.0 VINYL COATING,LF,2025-10-06T00:04:07.891Z,2025-10-06T00:15:57.797Z
cmgedbzbu002os94h0nb0wgge,550-10-248,FENCING TYPE B 7.1-8.0 RESET EXISTING,LF,2025-10-06T00:04:07.962Z,2025-10-06T00:15:59.464Z
cmgedbzdt002ps94hyq8tcevb,550-10-250,FENCING TYPE B 8.1-10.0 STANDARD FEATURES,LF,2025-10-06T00:04:08.034Z,2025-10-06T00:16:00.131Z
cmgedbzfs002qs94humy36lri,550-10-251,FENCING TYPE B 8.1-10.0 WITH BARBED WIRE ATTACHMENT,LF,2025-10-06T00:04:08.105Z,2025-10-06T00:16:01.098Z
cmgedbzho002rs94hitiu1kls,550-10-252,FENCING TYPE B 8.1-10.0 VINYL COATING,LF,2025-10-06T00:04:08.173Z,2025-10-06T00:16:01.950Z
cmgedbzjo002ss94hxg5arozz,550-10-256,FENCING TYPE B 8.1-10.0 WITH VINYL COATING AND BARBED WIRE ATTACHMENT,LF,2025-10-06T00:04:08.244Z,2025-10-06T00:16:02.729Z
cmgedbzlt002ts94hsjpz0u7j,550-10-258,FENCING TYPE B 8.1-10.0 RESET EXISTING,LF,2025-10-06T00:04:08.321Z,2025-10-06T00:16:06.095Z
cmgedbznt002us94hurzrfeo8,550-10-259,FENCING TYPE B 8.1-10.0 SPECIAL FEATURES,LF,2025-10-06T00:04:08.393Z,2025-10-06T00:16:07.914Z
cmgedbzq1002vs94h5zrrc0ex,550-10-266,FENCING TYPE B 10.1-12.0 WITH VINYL COATING AND BARBED WIRE ATTACHMENT,LF,2025-10-06T00:04:08.474Z,2025-10-06T00:16:08.650Z
cmgedbzs2002ws94h0vdrtpgf,550-10-269,FENCING TYPE B 10.1-12.0 SPECIAL FEATURES,LF,2025-10-06T00:04:08.546Z,2025-10-06T00:16:10.054Z
cmgedbzua002xs94hartly863,550-10-315,FENCING TYPE R 0.0-5.0 VERTICAL,LF,2025-10-06T00:04:08.626Z,2025-10-06T00:16:11.383Z
cmgedbzwh002ys94hrxp16adh,550-10-325,FENCING TYPE R 5.1-6.0 VERTICAL,LF,2025-10-06T00:04:08.705Z,2025-10-06T00:16:12.257Z
cmgedbzyg002zs94h1asymlly,550-10-333,FENCING TYPE R 6.1-7.0 FULL ENCLOSURE,LF,2025-10-06T00:04:08.776Z,2025-10-06T00:16:13.016Z
cmgedc01m0030s94h2w2pss27,550-10-334,FENCING TYPE R 6.1-7.0 PARTIAL ENCLOSURE,LF,2025-10-06T00:04:08.890Z,2025-10-06T00:16:19.356Z
cmgedc03m0031s94h25efcep2,550-10-335,FENCING TYPE R 6.1-7.0 VERTICAL,LF,2025-10-06T00:04:08.962Z,2025-10-06T00:16:20.071Z
cmgedc05l0032s94hz2pwwpg8,550-10-343,FENCING TYPE R 7.1-8.0 FULL ENCLOSURE,LF,2025-10-06T00:04:09.033Z,2025-10-06T00:16:21.785Z
cmgedc07l0033s94hmhvtpjqh,550-10-344,FENCING TYPE R 7.1-8.0 PARTIAL ENCLOSURE,LF,2025-10-06T00:04:09.105Z,2025-10-06T00:16:23.876Z
cmgedc09k0034s94hi7770aq4,550-10-353,FENCING TYPE R 8.1-10.0 FULL ENCLOSURE,LF,2025-10-06T00:04:09.176Z,2025-10-06T00:16:24.895Z
cmgedc0bu0035s94hthcb1enq,550-10-354,FENCING TYPE R 8.1-10.0 PARTIAL ENCLOSURE,LF,2025-10-06T00:04:09.258Z,2025-10-06T00:16:25.630Z
cmgedc0dy0036s94hsu8yuq19,550-10-355,FENCING TYPE R 8.1-10.0 VERTICAL,LF,2025-10-06T00:04:09.334Z,2025-10-06T00:16:26.389Z
cmgedc1eu003os94h81ptvihl,550-60126,FENCE GATE TYPE A DOUBLE 24.1-30.0 OPENING,EA,2025-10-06T00:04:10.663Z,2025-10-06T00:04:10.663Z
cmgedc1gv003ps94hakb5zdfa,550-60127,FENCE GATE TYPE A DOUBLE GREATER THAN 30 OPENING,EA,2025-10-06T00:04:10.735Z,2025-10-06T00:04:10.735Z
cmgedc1iu003qs94hqipjrwnb,550-60132,FENCE GATE TYPE A SLIDING/CANTILEVER 6.1-12.0 OPENING,EA,2025-10-06T00:04:10.806Z,2025-10-06T00:04:10.806Z
cmgedc1l1003rs94hi1pg4n1w,550-60133,FENCE GATE TYPE A SLIDING/CANTILEVER 12.1-18.0 OPENING,EA,2025-10-06T00:04:10.885Z,2025-10-06T00:04:10.885Z
cmgedc1n7003ss94h71h7ok5x,550-60134,FENCE GATE TYPE A SLIDING/CANTILEVER 18.1-20.0 OPENING,EA,2025-10-06T00:04:10.963Z,2025-10-06T00:04:10.963Z
cmgedc1p8003ts94he29pe2tb,550-60135,FENCE GATE TYPE A SLIDING/CANTILEVER 20.1-24.0 OPENING,EA,2025-10-06T00:04:11.036Z,2025-10-06T00:04:11.036Z
cmgedc1r9003us94hzd2eq3lm,550-60211,FENCE GATE TYPE B SINGLE 0-6.0 OPENING,EA,2025-10-06T00:04:11.110Z,2025-10-06T00:04:11.110Z
cmgedc1t8003vs94h68ucgcxq,550-60212,FENCE GATE TYPE B SINGLE 6.1-12.0 OPENING,EA,2025-10-06T00:04:11.181Z,2025-10-06T00:04:11.181Z
cmgedc1va003ws94hagori5m6,550-60213,FENCE GATE TYPE B SINGLE 12.1-18.0 OPENING,EA,2025-10-06T00:04:11.255Z,2025-10-06T00:04:11.255Z
cmgedc1xi003xs94hk03q1krb,550-60214,FENCE GATE TYPE B SINGLE 18.1-20.0 OPENING,EA,2025-10-06T00:04:11.335Z,2025-10-06T00:04:11.335Z
cmgedc1zi003ys94hy3f0eeps,550-60215,FENCE GATE TYPE B SINGLE 20.1-24.0 OPENING,EA,2025-10-06T00:04:11.406Z,2025-10-06T00:04:11.406Z
cmgedc21i003zs94he9ph2gil,550-60221,FENCE GATE TYPE B DOUBLE 0-6.0 OPENING,EA,2025-10-06T00:04:11.478Z,2025-10-06T00:04:11.478Z
cmgedc23r0040s94hplxr8mao,550-60222,FENCE GATE TYPE B DOUBLE 6.1-12.0 OPENING,EA,2025-10-06T00:04:11.560Z,2025-10-06T00:04:11.560Z
cmgedc2610041s94hmydt75ds,550-60223,FENCE GATE TYPE B DOUBLE 12.1-18.0 OPENING,EA,2025-10-06T00:04:11.641Z,2025-10-06T00:04:11.641Z
cmgedc2800042s94hu5f5hoz3,550-60224,FENCE GATE TYPE B DOUBLE 18.1-20.0 OPENING,EA,2025-10-06T00:04:11.713Z,2025-10-06T00:04:11.713Z
cmgedc2a50043s94h3eal4jlz,550-60225,FENCE GATE TYPE B DOUBLE 20.1-24.0 OPENING,EA,2025-10-06T00:04:11.789Z,2025-10-06T00:04:11.789Z
cmgedc2c80044s94h8x1ef5nt,550-60226,FENCE GATE TYPE B DOUBLE 24.1-30.0 OPENING,EA,2025-10-06T00:04:11.864Z,2025-10-06T00:04:11.864Z
cmgedc2e70045s94habue01hx,550-60227,FENCE GATE TYPE B DOUBLE GREATER THAN 30 OPENING,EA,2025-10-06T00:04:11.935Z,2025-10-06T00:04:11.935Z
cmgedc2g60046s94hc5z1hn85,550-60232,FENCE GATE TYPE B SLIDING/CANTILEVER 6.1-12.0 OPENING,EA,2025-10-06T00:04:12.007Z,2025-10-06T00:04:12.007Z
cmgedbxlq001us94hvtwz2gpg,550-10-110,FENCING TYPE A 0.0-5.0 STANDARD,LF,2025-10-06T00:04:05.727Z,2025-10-06T00:15:14.935Z
cmgedbxos001vs94hbphfutc8,550-10-118,FENCING TYPE A 0.0-5.0 RESET EXISTING,LF,2025-10-06T00:04:05.836Z,2025-10-06T00:15:15.452Z
cmgedbyxy002hs94htxet98d4,550-10-231,FENCING TYPE B 6.1-7.0 WITH BARB WIRE ATTACHMENT,LF,2025-10-06T00:04:07.463Z,2025-10-06T00:15:47.709Z
cmgedc0fy0037s94hqvcvjgmg,550-10-363,FENCING TYPE R GREATER THAN 10.0 FULL ENCLOSURE,LF,2025-10-06T00:04:09.406Z,2025-10-06T00:17:01.853Z
